상세주소,도로명 주소,위도,경도
,,46.3144754,11.0480288
도산대로25길 32,도산대로25길 32,37.5207129,127.0267631
논현로159길 57,논현로159길 57,37.5222726,127.0249621
도산대로15길 29,도산대로15길 29,37.519595,127.0238249
압구정로14길 6,압구정로14길 6,37.5216762,127.023511
압구정로 12길 46,압구정로 12길 46,0.0,0.0
논현로175길 49,논현로175길 49,37.5243164,127.0241243
압구정로18길 28,압구정로18길 28,37.5236292,127.0249963
도산대로 323 ,도산대로 323 ,37.524951,127.0540527
압구정로 312 ,압구정로 312 ,37.5281196,127.0301698
압구정로 322 ,압구정로 322 ,37.5281196,127.0301698
압구정로 334 ,압구정로 334 ,37.5281196,127.0301698
압구정로 342 ,압구정로 342 ,37.5281196,127.0301698
도산대로 313 ,도산대로 313 ,37.524951,127.0540527
선릉로 801 ,선릉로 801 ,37.5257607,127.0399898
압구정로29길 72-1 ,압구정로29길 72-1 ,37.5322776,127.0283897
논현로 808 ,논현로 808 ,37.5155479,127.029966
압구정로 204 ,압구정로 204 ,37.5281196,127.0301698
언주로 871 ,언주로 871 ,37.5352299,127.0346605
언주로 813 ,언주로 813 ,37.5352299,127.0346605
언주로 851 ,언주로 851 ,37.5352299,127.0346605
,,46.3144754,11.0480288
논현로 838 ,논현로 838 ,37.5155479,127.029966
압구정로 321 ,압구정로 321 ,37.5281196,127.0301698
언주로 829 ,언주로 829 ,37.5352299,127.0346605
압구정로 401 ,압구정로 401 ,37.5281196,127.0301698
압구정로42길 78,압구정로42길 78,37.5240822,127.034101
압구정로 417 ,압구정로 417 ,37.5281196,127.0301698
,,46.3144754,11.0480288
도산대로 207,도산대로 207,37.524951,127.0540527
압구정로 321,압구정로 321,37.5281196,127.0301698
,,46.3144754,11.0480288
테헤란로4길 46,테헤란로4길 46,37.4954802,127.0307131
테헤란로 237 ,테헤란로 237 ,37.5036201,127.0456997
테헤란로 223 ,테헤란로 223 ,37.5036201,127.0456997
테헤란로25길 9 ,테헤란로25길 9 ,37.50129,127.0349439
논현로 512 ,논현로 512 ,37.5155479,127.029966
테헤란로 205 ,테헤란로 205 ,37.5036201,127.0456997
테헤란로 152 ,테헤란로 152 ,37.5002349,127.0366204
논현로 429 ,논현로 429 ,37.5155479,127.029966
봉은사로 230 ,봉은사로 230 ,37.5081769,127.037502
언주로 559 ,언주로 559 ,37.5352299,127.0346605
,,46.3144754,11.0480288
선릉로 517 ,선릉로 517 ,37.5257607,127.0399898
언주로 510 ,언주로 510 ,37.5352299,127.0346605
,,46.3144754,11.0480288
테헤란로 116 ,테헤란로 116 ,37.5036201,127.0456997
테헤란로8길 22 ,테헤란로8길 22 ,37.4973549,127.0318573
강남대로78길 35 ,강남대로78길 35 ,37.4952174,127.0309798
역삼로 125 ,역삼로 125 ,37.4985382,127.0447277
테헤란로 329 ,테헤란로 329 ,37.5036201,127.0456997
강남대로 406 ,강남대로 406 ,37.5111721,127.0213861
테헤란로 141 ,테헤란로 141 ,37.5036201,127.0456997
강남대로 358 ,강남대로 358 ,37.5111721,127.0213861
도곡로7길 22 ,도곡로7길 22 ,37.491889,127.0344617
언주로 564 ,언주로 564 ,37.5352299,127.0346605
언주로 565,언주로 565,37.5352299,127.0346605
역삼로 143,역삼로 143,37.4985382,127.0447277
도곡로13길 19,도곡로13길 19,37.4923901,127.0362035
도곡로21길 7,도곡로21길 7,37.4931665,127.0387514
강남대로 320,강남대로 320,37.491838400000006,127.0309855387718
테헤란로 115,테헤란로 115,37.5036201,127.0456997
논현로85길 52,논현로85길 52,37.499178,127.0368912
,,46.3144754,11.0480288
,,46.3144754,11.0480288
도곡로3길 26,도곡로3길 26,37.4915206,127.0327552
테헤란로7길 22,테헤란로7길 22,37.5004233,127.0303593
논현로98길 16,논현로98길 16,37.5039245,127.0371121
강남대로102길 35,강남대로102길 35,37.5027424,127.027595
논현로 427-1,논현로 427-1,37.5155479,127.029966
논현로67길60,논현로67길60,0.0,0.0
테헤란로 202 ,테헤란로 202 ,37.5036201,127.0456997
테헤란로 326 ,테헤란로 326 ,37.5036201,127.0456997
,,46.3144754,11.0480288
언주로 323 ,언주로 323 ,37.5352299,127.0346605
,,46.3144754,11.0480288
언주로86길 12 ,언주로86길 12 ,37.5016167,127.044198
언주로85길 23-11 ,언주로85길 23-11 ,37.5010206,127.0417805
선릉로 423 ,선릉로 423 ,37.5257607,127.0399898
선릉로69길 20 ,선릉로69길 20 ,37.4985078,127.0508439
역삼동 763-16 ,역삼동 763-16 ,37.50118425,127.03825604133019
,,46.3144754,11.0480288
언주로86길 12 ,언주로86길 12 ,37.5016167,127.044198
테헤란로52길 6,테헤란로52길 6,37.5029825,127.0476773
역삼로 310,역삼로 310,37.4985382,127.0447277
테헤란로34길 7,테헤란로34길 7,37.5001284,127.0406018
테헤란로52길 16,테헤란로52길 16,37.5029825,127.0476773
역삼동 780-25,역삼동 780-25,37.50118425,127.03825604133019
일원로3길 46 ,일원로3길 46 ,37.49241,127.08381
양재대로55길 11 ,양재대로55길 11 ,37.4920557,127.087615
